element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,6.072917,26.479167,7.600042,0.500000,0.500000,1.692035,1.545292,1.604571,1.687060,1.544454,1.600113,2.356142,7.385417,0.001465,0.001465,0.001465,0.001465
96,5.572917,22.857639,11.690625,0.375000,0.750000,1.455844,1.352073,1.360696,1.861408,1.911667,1.929240,2.534367,19.819444,0.005859,0.005859,0.002930,0.008789
153,4.993464,23.510893,9.127209,0.298828,0.597656,1.370831,1.310410,1.301058,1.575388,1.610096,1.545575,2.764745,19.880174,0.011719,0.011719,0.005859,0.017578
409,5.399348,20.035045,12.626167,0.399414,0.798828,1.454352,1.352600,1.368004,2.436275,2.314456,2.332065,2.551656,24.110839,0.023438,0.023438,0.011719,0.035156
614,4.828990,39.483985,9.106333,0.299805,0.599609,1.349540,1.303881,1.322521,1.756508,1.612635,1.702046,2.774940,25.018458,0.046875,0.046875,0.023438,0.070312
819,5.477411,18.806675,13.060792,0.399902,0.799805,1.437160,1.369088,1.378908,2.716271,2.566731,2.609317,2.506619,30.762312,0.046875,0.046875,0.023438,0.070312
1228,5.259093,25.985071,9.365584,0.299805,0.599609,1.408975,1.306075,1.355723,1.765535,1.665063,1.739800,2.812849,25.595005,0.093750,0.093750,0.046875,0.140625
1638,6.151608,23.805454,13.025209,0.399902,0.799805,1.508652,1.379267,1.444260,2.340831,2.317410,2.317792,2.495871,31.864672,0.093750,0.093750,0.046875,0.140625
2457,6.288767,52.483245,9.988750,0.299927,0.599854,1.700708,1.529954,1.522394,2.072981,1.838356,1.928562,2.904311,32.916158,0.187500,0.187500,0.093750,0.281250
3276,7.518976,31.457672,14.060167,0.399902,0.799805,1.661248,1.503990,1.572108,7.225256,3.058240,3.141800,3.353629,35.447293,0.187500,0.187500,0.093750,0.281250
4915,6.143337,48.130722,10.650000,0.299988,0.599976,1.617215,1.516265,1.582946,6.427748,1.925246,2.761796,4.556094,30.840963,0.375000,0.375000,0.187500,0.562500
6553,7.378961,38.330612,14.671500,0.399963,0.799927,1.716956,1.577712,1.870062,10.442865,7.998448,2.832527,5.012146,36.806704,0.375000,0.375000,0.187500,0.562500
9830,9.150695,53.838878,10.919000,0.299988,0.599976,5.292865,2.089454,5.513823,12.347815,3.115927,5.475139,6.191317,35.376365,0.750000,0.750000,0.375000,1.125000
13107,11.511037,41.597798,15.261125,0.399994,0.799988,8.028515,2.885119,7.509648,17.116096,14.316212,16.516612,6.870874,47.146181,0.750000,0.750000,0.375000,1.125000
19660,10.677713,55.219286,11.239125,0.299988,0.599976,7.022969,4.842302,8.817179,13.975012,12.210833,13.118237,7.525767,37.465378,1.500000,1.500000,0.750000,2.250000
26214,14.085190,45.601434,15.618875,0.399994,0.799988,11.314873,8.992567,10.849231,17.675552,16.729602,15.690910,6.344454,44.614087,1.500000,1.500000,0.750000,2.250000
39321,8.616397,52.534307,11.586125,0.299995,0.599991,5.682281,5.861402,10.548240,14.874221,13.989519,14.553617,8.422182,40.924909,3.000000,3.000000,1.500000,4.500000
52428,11.202004,45.838919,16.415625,0.399994,0.799988,8.165165,8.758015,13.072517,19.051179,18.255154,18.640846,7.454202,45.927539,3.000000,3.000000,1.500000,4.500000
78643,7.301192,50.784524,12.373042,0.299999,0.599998,4.353302,5.953188,10.101121,9.231252,11.281131,14.357212,8.800022,37.987772,6.000000,6.000000,3.000000,9.000000
104857,8.645107,42.080192,17.014375,0.399998,0.799995,5.822848,8.285031,11.892794,15.448906,15.584556,17.608158,8.334568,39.525923,6.000000,6.000000,3.000000,9.000000
157286,10.254585,50.203396,16.679833,0.299999,0.599998,5.579262,7.653385,13.084883,10.597875,12.409658,16.333794,8.907107,34.779709,12.000000,12.000000,6.000000,18.000000
209715,11.628413,42.384241,21.144292,0.400000,0.799999,7.091000,10.185367,15.554356,17.535998,17.831113,19.302577,8.417459,37.694740,12.000000,12.000000,6.000000,18.000000
314572,13.138442,53.461352,20.183917,0.299999,0.599998,6.743156,8.641617,13.850411,13.037467,15.656821,20.802117,8.868281,40.621773,24.000000,24.000000,12.000000,36.000000
419430,14.758025,44.292254,25.629958,0.400000,0.799999,8.407560,11.120985,15.900463,23.282742,23.126815,25.064038,8.343143,44.461166,24.000000,24.000000,12.000000,36.000000
629145,16.776383,58.928629,26.019704,0.300000,0.599999,8.171252,9.636710,15.153327,14.215635,16.381106,25.300385,8.848858,47.290812,48.000000,48.000000,24.000000,72.000000
