element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,5.213542,37.546875,10.676208,0.500000,0.500000,1.526350,1.456860,1.530871,1.516779,1.459356,1.532788,2.345056,5.645833,0.000000,0.000000,0.000000,0.000000
96,5.501736,18.156250,12.429125,0.750000,0.750000,1.578050,1.727017,1.593756,1.584444,1.726550,1.592894,2.334676,5.211806,0.000000,0.000000,0.000000,0.000000
153,4.765795,18.929194,11.151334,0.597656,0.597656,1.610919,1.727767,1.677027,1.604327,1.726090,1.682502,2.350366,3.995643,0.000000,0.000000,0.000000,0.000000
409,4.091687,16.011410,8.446916,0.399414,0.798828,1.565998,1.528706,1.548725,1.805623,2.052915,1.942823,2.347045,19.084760,0.000000,0.000000,0.000000,0.000000
614,4.840934,16.003800,11.065833,0.599609,0.599609,1.616367,1.674494,1.665273,1.607667,1.665365,1.657023,2.302123,4.161781,0.000000,0.000000,0.000000,0.000000
819,3.806878,13.185592,8.430167,0.399902,0.799805,1.566810,1.570196,1.578360,1.707183,1.949423,1.889725,2.427430,16.093203,0.000000,0.000000,0.000000,0.000000
1228,4.767101,14.754207,11.325458,0.599609,0.599609,1.643679,1.729094,1.724148,1.647169,1.706756,1.682325,2.508083,4.862921,0.000000,0.000000,0.000000,0.000000
1638,4.400794,13.914326,8.798375,0.399902,0.799805,1.715921,1.623762,1.685144,1.625479,1.882202,1.764621,2.364867,20.485755,0.000000,0.000000,0.000000,0.000000
2457,5.127188,16.590897,11.211291,0.599854,0.599854,1.680873,1.746846,1.758200,1.712835,1.742854,1.745050,2.518154,7.665174,0.000000,0.000000,0.000000,0.000000
3276,5.178673,18.758038,9.219958,0.399902,0.799805,1.802760,1.666379,1.667236,1.690100,1.908890,1.842602,2.514351,21.070716,0.000000,0.000000,0.000000,0.000000
4915,5.702543,31.031706,11.937583,0.599976,0.599976,1.822646,2.147548,1.742260,1.741783,1.919498,1.752804,2.632296,8.904171,0.000000,0.000000,0.000000,0.000000
6553,5.134366,29.347246,9.233791,0.399963,0.799927,2.403398,3.216606,2.344267,1.786215,2.023962,3.180810,2.631716,20.334147,0.000000,0.000000,0.000000,0.000000
9830,7.811970,26.841709,12.549792,0.599976,0.599976,1.859883,4.223158,8.365417,1.904790,4.172340,6.968975,2.580246,8.344659,0.000000,0.000000,0.000000,0.000000
13107,6.363228,26.008164,9.607792,0.399994,0.799988,2.441658,5.458369,6.543123,2.407615,5.412073,9.032527,2.828983,23.881437,0.000000,0.000000,0.000000,0.000000
19660,8.436131,26.373694,12.608375,0.599976,0.599976,3.110715,6.849177,10.297819,3.249887,6.729262,10.796473,2.586070,8.418108,0.000000,0.000000,0.000000,0.000000
26214,8.957262,26.507521,9.536000,0.399994,0.799988,3.165412,6.078021,8.072319,5.606131,6.911460,12.315781,2.748234,40.345808,0.000000,0.000000,0.000000,0.000000
39321,9.467299,28.113688,12.746292,0.599991,0.599991,4.740152,7.432267,11.344871,4.575404,7.830358,10.923146,2.606021,10.217899,0.000000,0.000000,0.000000,0.000000
52428,8.075888,24.501723,9.896916,0.399994,0.799988,3.913517,7.040963,10.251567,6.702258,8.066237,13.231171,2.741589,24.361448,0.000000,0.000000,0.000000,0.000000
78643,51.304984,78.427726,18.072125,0.599998,0.599998,55.353110,41.994246,49.231177,54.859183,41.052813,48.893460,2.564374,52.183606,0.000000,0.000000,0.000000,0.000000
104857,58.611836,84.258536,17.533583,0.399998,0.799995,64.827448,32.037771,51.985121,65.660202,55.619015,61.816581,2.648421,83.393069,0.000000,0.000000,0.000000,0.000000
157286,53.135689,82.825409,25.335208,0.599998,0.599998,58.889619,44.957462,52.822760,57.831808,43.991956,53.333383,2.609633,52.747507,0.000000,0.000000,0.000000,0.000000
209715,35.291281,89.599641,24.606625,0.400000,0.799999,41.256212,25.033537,40.936000,72.812460,63.770487,67.460606,2.709555,62.306119,0.000000,0.000000,0.000000,0.000000
314572,36.026861,71.249940,34.594583,0.599998,0.599998,42.750531,36.550102,46.061771,44.263108,36.158190,48.676569,2.573642,34.295275,0.000000,0.000000,0.000000,0.000000
419430,41.916244,69.605575,37.375834,0.400000,0.799999,50.483467,28.805371,56.887988,54.513677,48.492942,59.669825,2.710176,61.524966,0.000000,0.000000,0.000000,0.000000
629145,41.576685,69.545353,52.573201,0.599999,0.599999,57.863202,47.972856,69.525371,58.247425,49.569456,67.587458,2.575693,43.520285,0.000000,0.000000,0.000000,0.000000
838860,46.952180,73.290007,52.911044,0.400000,0.799999,59.694313,35.925900,74.554087,74.064348,66.574650,85.992777,2.731563,66.260229,0.000000,0.000000,0.000000,0.000000
1258291,50.367605,78.318181,64.899634,0.600000,0.600000,73.833706,62.971465,96.315540,71.992598,61.957390,95.996815,2.573568,51.091575,0.000000,0.000000,0.000000,0.000000
1677721,40.630899,82.860755,45.674311,0.400000,0.800000,43.051142,28.116894,76.049744,95.265658,93.328621,125.409379,2.744356,59.914569,0.000000,0.000000,0.000000,0.000000
2516582,42.799552,77.674542,52.896763,0.600000,0.600000,47.980848,43.701133,105.031240,47.227623,43.819344,108.112790,2.676808,41.847418,0.000000,0.000000,0.000000,0.000000
3355443,49.493968,78.304725,50.432735,0.400000,0.800000,50.188025,31.771081,92.634173,64.560060,61.618879,137.222798,2.742969,62.775831,0.000000,0.000000,0.000000,0.000000
5033164,19.953846,39.013130,36.999970,0.600000,0.600000,14.084419,16.786975,22.348017,14.108729,16.878583,22.406206,2.616475,20.022898,0.000000,0.000000,0.000000,0.000000
6710886,19.368391,38.390506,33.617223,0.400000,0.800000,12.815150,13.865267,19.574696,16.466333,18.105881,25.739935,2.737958,34.905136,0.000000,0.000000,0.000000,0.000000
