element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,38.411458,283.421875,62.935125,0.500000,0.500000,1.731323,1.730950,1.732783,1.730548,1.724238,1.725338,3.926077,79.864583,0.005585,0.005585,0.005539,0.005539
96,43.253472,301.651042,58.712042,0.375000,0.750000,1.740690,1.717723,1.720408,1.726104,1.728479,1.731421,4.799999,207.173611,0.011719,0.011742,0.007729,0.013092
153,45.297386,229.802832,215.248084,0.597656,0.597656,1.722819,1.732602,1.738169,1.741900,1.728233,1.734906,3.729399,56.008715,0.012390,0.012436,0.012238,0.012253
409,41.667074,275.196822,58.949875,0.399414,0.798828,1.738915,1.725794,1.722396,1.716365,1.714263,1.729960,4.757214,175.156479,0.038780,0.038788,0.023026,0.044930
614,42.186754,252.759772,212.579500,0.599609,0.599609,1.729762,1.716608,1.730340,1.728673,1.733719,1.734423,3.726010,52.071661,0.041046,0.041092,0.040680,0.040688
819,37.045381,335.003663,58.944708,0.399902,0.799805,1.739396,1.725487,1.727481,1.731298,1.719710,1.721983,4.709647,241.656492,0.074562,0.074646,0.043320,0.087059
1228,43.334962,255.468377,211.661458,0.599609,0.599609,1.780983,1.776727,1.798300,1.778025,1.782452,1.789754,3.793488,82.847177,0.078758,0.078850,0.078941,0.078979
1638,79.149064,301.604294,63.794709,0.399902,0.799805,1.791033,1.795863,1.768179,1.734196,1.724600,1.718983,4.721066,234.533985,0.146378,0.170525,0.083321,0.171234
2457,44.493013,302.059286,211.839250,0.599854,0.599854,1.749746,1.733110,1.746406,1.723869,1.755188,1.762994,3.690869,133.383259,0.154488,0.164986,0.155052,0.155067
3276,38.991504,297.922212,65.060541,0.399902,0.799805,1.846306,1.850675,1.833567,1.772631,1.778723,1.775127,9.359501,194.257835,0.289955,0.290009,0.163643,0.339943
4915,47.583893,259.303967,203.379583,0.599976,0.599976,1.805333,1.795723,1.836664,1.816329,1.810125,2.010627,7.541296,85.444286,0.306168,0.395676,0.306366,0.306412
6553,41.966631,315.138715,68.603000,0.399963,0.799927,1.843992,1.838725,1.899240,1.805056,1.791917,2.400038,11.187223,194.658528,0.576736,0.576775,0.323990,0.676666
9830,78.877721,262.687199,199.093500,0.599976,0.599976,1.828881,1.819202,4.201415,1.833913,1.867312,7.138265,8.302096,66.467447,0.610252,0.610344,0.609947,0.609978
13107,54.447700,333.962793,103.372250,0.399994,0.799988,1.842021,1.893842,5.732017,1.841194,1.832281,7.822694,13.143597,208.047252,1.021263,1.021355,0.646194,1.314819
19660,472.440870,1064.834130,0.000000,0.599976,0.599976,1.889356,1.894402,8.623462,1.873492,1.857975,8.798427,8.652828,529.409003,1.091965,1.262184,1.091965,1.414291
26214,53.953098,677.568920,0.000000,0.399994,0.799988,2.075160,1.998681,9.173483,1.853121,1.884679,8.569675,13.169825,252.763027,2.039818,2.039848,1.169525,2.475647
39321,443.134004,990.118181,0.000000,0.599991,0.599991,1.918498,1.893258,9.361212,1.904127,1.913296,9.425454,9.410309,725.601468,2.177757,2.839340,2.178726,2.840637
52428,68.760570,804.950488,0.000000,0.399994,0.799988,2.103192,2.066131,9.993175,1.951396,1.954850,9.633325,13.687341,242.668256,4.075371,4.075462,2.334862,4.947105
78643,601.452045,1013.575675,0.000000,0.599998,0.599998,2.087871,2.072575,10.162961,2.081633,2.073806,10.210194,9.271219,512.533788,4.358009,5.664459,4.358009,5.621628
104857,63.531899,1054.493396,0.000000,0.399998,0.799995,2.236104,2.226710,10.809765,2.088654,2.104973,10.569292,14.003152,281.874232,8.145607,8.145630,4.666092,9.890961
157286,182.026955,1304.424655,0.000000,0.599998,0.599998,2.393358,2.310098,11.023744,2.280740,2.246492,10.812123,9.277131,604.540720,8.710976,11.271049,8.710976,11.169739
209715,116.668587,1052.423659,0.000000,0.400000,0.799999,3.976723,3.952950,12.427360,2.245023,2.246648,11.160554,14.018477,310.183595,16.295219,19.554916,9.321190,19.770943
314572,690.399089,1342.151532,0.000000,0.599998,0.599998,3.943700,4.111458,12.671363,4.000729,3.962910,12.404821,9.284511,631.743246,17.415245,18.094818,17.415245,22.231522
