element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,32.947917,39.927083,31.123285,0.864865,0.864865,8.773482,11.218429,10.349935,8.773107,11.197940,10.349703,0.392004,28.229167,0.001259,0.001259,0.001259,0.001259
96,29.498264,36.817708,31.732512,0.989691,0.989691,8.941016,11.038122,10.290898,8.945799,11.039643,10.238791,0.944509,41.461806,0.003670,0.003670,0.003670,0.003670
153,38.371460,47.509804,31.575664,0.974522,0.974522,9.044546,11.577964,10.437687,9.044495,11.560749,10.434041,0.907382,41.002179,0.005867,0.005867,0.005867,0.005867
409,37.453953,54.750611,27.130350,1.000000,1.000000,9.377395,11.877674,11.203683,9.383548,11.883088,11.201056,0.890248,37.885086,0.015602,0.015602,0.015602,0.015602
614,36.759772,56.035559,33.191537,0.991922,0.991922,9.383835,11.536267,10.986898,9.358954,11.528096,10.984930,0.976386,37.002172,0.023460,0.023460,0.023460,0.023460
819,36.960724,55.728938,34.175274,0.995140,0.995140,9.594601,12.118319,11.156974,9.544649,12.049110,11.155012,1.757391,37.661783,0.031273,0.031273,0.031273,0.031273
1228,36.464712,56.472448,34.791567,0.952676,0.952676,9.593231,12.123672,11.034548,9.711230,12.045011,11.067613,2.181378,36.533659,0.047310,0.047310,0.047310,0.047310
1638,36.519638,55.924501,35.220535,0.940839,0.940839,10.203308,12.400288,12.854651,10.187033,12.614580,12.797259,2.248976,36.833130,0.063271,0.063271,0.063271,0.063271
2457,36.702347,58.954552,39.148257,0.963907,0.963907,11.373639,14.616143,17.953140,11.027860,14.016688,17.905939,2.304317,36.722968,0.094429,0.094429,0.094429,0.094429
3276,37.709046,58.357601,39.596934,0.944364,0.944364,13.042146,15.623347,20.789452,12.772561,15.862215,20.796993,2.730170,36.824786,0.126442,0.126442,0.126442,0.126442
4915,37.603391,58.625365,44.765565,0.966188,0.966188,14.921337,19.568411,24.154169,14.985707,19.551621,24.178387,3.149573,37.569752,0.188805,0.188805,0.188805,0.188805
6553,38.317285,57.678748,47.943584,0.943013,0.943013,16.592339,21.263655,27.181085,16.563004,21.298984,27.230971,3.325694,38.262882,0.252998,0.252998,0.252998,0.252998
9830,40.252442,54.128281,52.176011,0.956877,0.956877,19.232510,24.283654,31.319717,19.288539,24.368822,31.299151,3.919157,40.304374,0.378365,0.378365,0.378365,0.378365
13107,41.014191,61.197693,53.982574,0.934013,0.934013,19.940800,26.539496,32.625107,19.948992,26.712434,32.618898,4.166896,41.005798,0.507057,0.507057,0.507057,0.507057
19660,42.487954,58.924686,56.486829,0.947333,0.947333,21.408776,28.257080,34.581956,21.376632,28.006079,34.584964,4.568135,42.454680,0.758308,0.758308,0.758308,0.758308
26214,44.036355,66.966958,57.884164,0.997982,0.997982,22.433648,30.085501,36.171360,22.554421,29.954636,36.173949,4.883509,44.137916,1.000389,1.000389,1.000389,1.000389
39321,44.175504,63.801726,58.836160,0.935257,0.935257,21.898132,29.321633,35.956732,21.907708,29.351435,35.965382,5.027425,44.421751,1.520744,1.520744,1.520744,1.520744
