element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,10.463542,34.135417,14.624901,0.500000,0.500000,2.713731,2.551144,2.646448,2.713384,2.553205,2.645663,1.784061,15.020833,0.001045,0.001045,0.001045,0.001045
96,11.496528,30.631944,20.643680,0.750000,0.750000,3.039872,2.960605,3.107703,3.046992,2.960794,3.108525,1.348282,12.538194,0.002083,0.002083,0.002083,0.002083
153,10.680828,35.812636,16.994725,0.597656,0.597656,2.955146,2.836736,2.981406,2.949484,2.836756,2.981621,1.565283,12.294118,0.004158,0.004158,0.004158,0.004158
409,11.639772,31.159332,22.259949,0.798828,0.798828,3.082181,3.004927,3.066558,3.079921,3.040991,3.049216,1.264562,14.590872,0.008308,0.008308,0.008308,0.008308
614,10.172096,38.996471,17.187706,0.599609,0.599609,2.909948,2.673243,2.711470,3.000623,2.738229,2.711194,1.639980,12.765472,0.016609,0.016609,0.016609,0.016609
819,12.987586,40.416768,22.538879,0.799805,0.799805,3.147617,3.164731,3.064021,3.111211,3.264424,3.093132,1.313350,16.208384,0.016609,0.016609,0.016609,0.016609
1228,11.194761,48.185396,17.649662,0.599609,0.599609,3.289658,3.272627,3.197451,3.276508,3.448385,3.379034,1.901342,14.554289,0.033211,0.033211,0.033211,0.033211
1638,14.048535,43.542226,23.226302,0.799805,0.799805,3.636093,4.429738,5.001307,3.754353,4.482385,4.967722,1.410105,17.357346,0.033211,0.033211,0.033211,0.033211
2457,12.279270,48.748609,18.136974,0.599854,0.599854,3.843443,5.350538,7.288032,3.976429,5.418342,7.254799,3.906765,15.060100,0.066414,0.066414,0.066414,0.066414
3276,15.984229,42.894333,23.946255,0.799805,0.799805,4.676641,7.345617,9.817715,4.633873,7.373650,9.832068,1.819744,18.153439,0.066414,0.066414,0.066414,0.066414
4915,13.638793,49.754934,18.962749,0.599976,0.599976,4.898098,7.140146,9.861649,4.942586,7.168033,9.867642,5.337073,15.271414,0.132820,0.132820,0.132820,0.132820
6553,17.885116,43.926573,24.956155,0.799927,0.799927,6.080451,8.437062,12.218248,6.400427,8.671578,12.188354,2.484211,19.195025,0.132820,0.132820,0.132820,0.132820
9830,14.992099,50.655748,21.503571,0.599976,0.599976,6.403507,8.544707,12.447381,6.404772,8.644197,12.446415,5.879497,16.390539,0.265633,0.265633,0.265633,0.265633
13107,19.189873,45.310953,28.903404,0.799988,0.799988,8.008685,10.240456,14.134042,8.019773,10.234866,14.130245,2.918631,20.077541,0.265633,0.265633,0.265633,0.265633
19660,16.479739,51.789581,22.999731,0.599976,0.599976,7.593520,9.794269,13.865535,7.587650,9.810073,13.866071,6.110252,17.782774,0.531258,0.531258,0.531258,0.531258
26214,20.306490,47.052828,31.112704,0.799988,0.799988,9.016852,11.177973,15.237775,9.036414,11.188768,15.237240,3.078297,21.306338,0.531258,0.531258,0.531258,0.531258
39321,17.168727,53.111904,24.052578,0.599991,0.599991,7.913674,10.072289,14.201030,7.912443,10.171887,14.199353,6.163004,18.336546,1.062508,1.062508,1.062508,1.062508
52428,21.417550,48.398559,32.883754,0.799988,0.799988,9.366987,11.463241,15.500785,9.389348,11.460856,15.503269,3.160626,22.294423,1.062508,1.062508,1.062508,1.062508
78643,17.568817,54.603489,24.864447,0.599998,0.599998,8.065977,10.393594,14.235278,8.069651,10.343864,14.272173,6.197790,18.579157,2.125008,2.125008,2.125008,2.125008
