element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_default_load_factor_lookup_ns,avg_miss_default_load_factor_lookup_ns,avg_50%_hit_default_load_factor_lookup_ns,avg_hit_large_max_load_factor_lookup_ns,avg_miss_large_max_load_factor_lookup_ns,avg_50%_hit_large_max_load_factor_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns,final_default_load_factor_size_mb,peak_default_load_factor_size_mb,final_large_load_factor_size_mb,peak_large_load_factor_size_mb
32,30.677083,40.442708,29.731235,0.864865,0.864865,7.546660,8.922465,7.639988,7.546402,8.927394,7.717312,0.460998,29.270833,0.001015,0.001015,0.001015,0.001015
96,30.458333,36.494792,30.786528,0.989691,0.989691,8.276627,11.068874,9.653351,8.263852,11.178046,9.482348,0.918266,41.319444,0.002937,0.002937,0.002937,0.002937
153,37.303922,40.316993,30.660976,0.974522,0.974522,8.086386,11.110548,9.320979,8.086331,11.270974,9.278853,0.900880,38.976035,0.004700,0.004700,0.004700,0.004700
409,35.280359,66.819478,26.041217,1.000000,1.000000,7.982784,10.848032,9.283684,8.017816,10.846003,9.335765,0.890172,36.399348,0.012482,0.012482,0.012482,0.012482
614,34.764387,62.501357,31.444005,0.991922,0.991922,7.994108,11.069674,9.561144,7.992118,11.011310,9.789035,0.888855,35.183496,0.018776,0.018776,0.018776,0.018776
819,35.438950,60.030932,32.235013,0.995140,0.995140,8.205587,11.212458,9.776270,8.219764,11.306534,9.823814,0.917771,35.763533,0.025024,0.025024,0.025024,0.025024
1228,35.212948,54.535831,33.359626,0.952676,0.952676,8.462730,11.543977,9.983825,8.448326,11.534784,10.185120,1.355603,35.818132,0.037941,0.037941,0.037941,0.037941
1638,34.798840,55.109280,33.876046,0.940839,0.940839,8.394820,11.293352,11.399068,8.412165,11.420712,11.416620,1.717028,35.037444,0.050774,0.050774,0.050774,0.050774
2457,34.258920,55.202415,35.105690,0.963907,0.963907,8.611802,12.015256,15.125791,8.581408,12.039581,15.012508,1.922485,34.192647,0.075684,0.075684,0.075684,0.075684
3276,35.025285,55.912597,36.787709,0.944364,0.944364,10.392570,13.672593,17.428863,10.261157,13.647878,17.417616,1.990807,34.553215,0.101448,0.101448,0.101448,0.101448
4915,38.035741,53.498915,39.810447,0.966188,0.966188,15.314062,17.767808,21.152648,14.967304,18.477933,21.223942,2.340968,38.031672,0.151306,0.151306,0.151306,0.151306
6553,36.305458,54.282568,43.143506,0.943013,0.943013,13.180600,18.521465,21.769012,13.188603,18.185703,21.792818,2.345085,35.814589,0.203003,0.203003,0.203003,0.203003
9830,37.558715,50.142608,48.239062,0.956877,0.956877,15.964104,22.531958,26.188804,16.026439,22.487398,26.148820,2.821675,37.244829,0.303368,0.303368,0.303368,0.303368
13107,36.755474,57.176458,50.668456,0.934013,0.934013,15.586654,22.545315,27.010142,15.424933,22.811095,26.888769,3.114607,36.521121,0.407059,0.407059,0.407059,0.407059
19660,42.061216,56.396083,53.547692,0.947333,0.947333,19.845835,26.890435,31.798400,19.904078,26.853947,31.783392,3.826533,41.667040,0.608315,0.608315,0.608315,0.608315
26214,45.214892,62.741137,55.768494,0.997982,0.997982,22.353512,29.373243,34.158343,22.346604,29.040685,34.160966,4.347518,45.068297,0.800392,0.800392,0.800392,0.800392
39321,41.783580,59.617503,56.594823,0.935257,0.935257,19.008297,27.019011,31.545481,19.225053,26.978019,31.572269,4.222337,41.410417,1.220749,1.220749,1.220749,1.220749
52428,45.181061,68.380255,58.183281,0.985470,0.985470,21.599565,29.689859,34.123758,21.797454,29.529814,34.140917,4.752929,45.004196,1.605873,1.605873,1.605873,1.605873
78643,49.263620,63.158584,60.741439,0.998274,0.998274,25.216906,31.603370,36.640026,25.108331,31.621103,36.677145,5.249119,49.247121,2.401031,2.401031,2.401031,2.401031
104857,43.605863,70.452626,60.271564,0.971825,0.971825,19.687337,28.831198,32.781039,19.819676,28.812139,32.786592,4.705122,43.872789,3.223175,3.223175,3.223175,3.223175
